pk,wd,f1,n_hyp,n_ref,n,start_ep,end_ep,method,signal,dark
0.44966442953020136,0.46308724832214765,0.36363636363636365,11,11,155,983,1137,baseline-random,0.2129032258064516,True
0.5,0.5,0.6,5,5,39,1187,1225,baseline-random,0.3333333333333333,True
0.5555555555555556,0.5925925925925926,0.3333333333333333,6,6,58,1251,1308,baseline-random,0.8448275862068966,False
0.5384615384615384,0.5538461538461539,0.5,8,8,69,1310,1378,baseline-random,1.0,False
0.5343511450381679,0.5419847328244275,0.2727272727272727,11,11,137,3334,3470,baseline-random,0.9854014598540146,False
0.4827586206896552,0.5517241379310345,0.25,3,5,32,30,61,texttile,0.09375,True
0.4857142857142857,0.5714285714285714,0.375,9,7,37,96,132,texttile,0.21621621621621623,True
0.46153846153846156,0.46153846153846156,0.0,0,4,29,135,163,texttile,0.0,True
0.4146341463414634,0.6341463414634146,0.3529411764705882,13,4,45,390,434,texttile,0.2,True
0.4358974358974359,0.6923076923076923,0.2857142857142857,17,4,43,578,620,texttile,0.37209302325581395,True
0.4489795918367347,0.7755102040816326,0.4,16,4,55,623,677,texttile,0.8181818181818182,False
0.42857142857142855,0.5952380952380952,0.33333333333333337,13,5,46,825,870,texttile,0.17391304347826086,True
0.44642857142857145,0.6071428571428571,0.37037037037037035,19,8,59,905,963,texttile,0.0847457627118644,True
0.5369127516778524,0.697986577181208,0.19999999999999996,39,11,155,983,1137,texttile,0.2129032258064516,True
0.3611111111111111,0.6111111111111112,0.4,10,5,39,1187,1225,texttile,0.3333333333333333,True
0.3888888888888889,0.6666666666666666,0.39999999999999997,19,6,58,1251,1308,texttile,0.8448275862068966,False
0.24615384615384617,0.5538461538461539,0.39999999999999997,22,8,69,1310,1378,texttile,1.0,False
0.3969465648854962,0.5114503816793893,0.3529411764705882,23,11,137,3334,3470,texttile,0.9854014598540146,False
0.6551724137931034,0.6551724137931034,0.6,5,5,32,30,61,binseg-oracle-n,0.09375,True
0.45714285714285713,0.45714285714285713,0.5714285714285714,7,7,37,96,132,binseg-oracle-n,0.21621621621621623,True
0.5769230769230769,0.6153846153846154,0.5,4,4,29,135,163,binseg-oracle-n,0.0,True
0.36585365853658536,0.4146341463414634,0.5,4,4,45,390,434,binseg-oracle-n,0.2,True
0.38461538461538464,0.41025641025641024,0.75,4,4,43,578,620,binseg-oracle-n,0.37209302325581395,True
0.2653061224489796,0.2653061224489796,0.75,4,4,55,623,677,binseg-oracle-n,0.8181818181818182,False
0.5,0.5238095238095238,0.4000000000000001,5,5,46,825,870,binseg-oracle-n,0.17391304347826086,True
0.4642857142857143,0.5178571428571429,0.375,8,8,59,905,963,binseg-oracle-n,0.0847457627118644,True
0.44966442953020136,0.5302013422818792,0.36363636363636365,11,11,155,983,1137,binseg-oracle-n,0.2129032258064516,True
0.25,0.3055555555555556,0.6,5,5,39,1187,1225,binseg-oracle-n,0.3333333333333333,True
0.24074074074074073,0.25925925925925924,0.6666666666666666,6,6,58,1251,1308,binseg-oracle-n,0.8448275862068966,False
0.16923076923076924,0.18461538461538463,1.0,8,8,69,1310,1378,binseg-oracle-n,1.0,False
0.22137404580152673,0.2595419847328244,0.8181818181818182,11,11,137,3334,3470,binseg-oracle-n,0.9854014598540146,False
0.5517241379310345,0.5517241379310345,0.33333333333333337,1,5,32,30,61,pelt-pen1,0.09375,True
0.4,0.4,0.0,0,7,37,96,132,pelt-pen1,0.21621621621621623,True
0.46153846153846156,0.46153846153846156,0.0,0,4,29,135,163,pelt-pen1,0.0,True
0.3902439024390244,0.3902439024390244,0.0,0,4,45,390,434,pelt-pen1,0.2,True
0.41025641025641024,0.41025641025641024,0.75,4,4,43,578,620,pelt-pen1,0.37209302325581395,True
0.3469387755102041,0.3469387755102041,0.8,6,4,55,623,677,pelt-pen1,0.8181818181818182,False
0.4523809523809524,0.4523809523809524,0.0,0,5,46,825,870,pelt-pen1,0.17391304347826086,True
0.42857142857142855,0.42857142857142855,0.0,0,8,59,905,963,pelt-pen1,0.0847457627118644,True
0.42953020134228187,0.42953020134228187,0.0,0,11,155,983,1137,pelt-pen1,0.2129032258064516,True
0.3611111111111111,0.3611111111111111,0.6666666666666665,4,5,39,1187,1225,pelt-pen1,0.3333333333333333,True
0.25925925925925924,0.2777777777777778,0.6666666666666666,6,6,58,1251,1308,pelt-pen1,0.8448275862068966,False
0.16923076923076924,0.18461538461538463,1.0,8,8,69,1310,1378,pelt-pen1,1.0,False
0.35877862595419846,0.3969465648854962,0.5714285714285713,10,11,137,3334,3470,pelt-pen1,0.9854014598540146,False
0.5172413793103449,0.5172413793103449,0.0,0,5,32,30,61,pelt-pen2,0.09375,True
0.4,0.4,0.0,0,7,37,96,132,pelt-pen2,0.21621621621621623,True
0.46153846153846156,0.46153846153846156,0.0,0,4,29,135,163,pelt-pen2,0.0,True
0.3902439024390244,0.3902439024390244,0.0,0,4,45,390,434,pelt-pen2,0.2,True
0.41025641025641024,0.41025641025641024,0.4,1,4,43,578,620,pelt-pen2,0.37209302325581395,True
0.4897959183673469,0.4897959183673469,0.0,0,4,55,623,677,pelt-pen2,0.8181818181818182,False
0.4523809523809524,0.4523809523809524,0.0,0,5,46,825,870,pelt-pen2,0.17391304347826086,True
0.42857142857142855,0.42857142857142855,0.0,0,8,59,905,963,pelt-pen2,0.0847457627118644,True
0.42953020134228187,0.42953020134228187,0.0,0,11,155,983,1137,pelt-pen2,0.2129032258064516,True
0.4166666666666667,0.4166666666666667,0.0,0,5,39,1187,1225,pelt-pen2,0.3333333333333333,True
0.35185185185185186,0.35185185185185186,0.4444444444444444,3,6,58,1251,1308,pelt-pen2,0.8448275862068966,False
0.3230769230769231,0.3384615384615385,0.7692307692307693,5,8,69,1310,1378,pelt-pen2,1.0,False
0.3893129770992366,0.3893129770992366,0.16666666666666669,1,11,137,3334,3470,pelt-pen2,0.9854014598540146,False
0.5172413793103449,0.5172413793103449,0.0,0,5,32,30,61,pelt-pen3,0.09375,True
0.4,0.4,0.0,0,7,37,96,132,pelt-pen3,0.21621621621621623,True
0.46153846153846156,0.46153846153846156,0.0,0,4,29,135,163,pelt-pen3,0.0,True
0.3902439024390244,0.3902439024390244,0.0,0,4,45,390,434,pelt-pen3,0.2,True
0.41025641025641024,0.41025641025641024,0.4,1,4,43,578,620,pelt-pen3,0.37209302325581395,True
0.4897959183673469,0.4897959183673469,0.0,0,4,55,623,677,pelt-pen3,0.8181818181818182,False
0.4523809523809524,0.4523809523809524,0.0,0,5,46,825,870,pelt-pen3,0.17391304347826086,True
0.42857142857142855,0.42857142857142855,0.0,0,8,59,905,963,pelt-pen3,0.0847457627118644,True
0.42953020134228187,0.42953020134228187,0.0,0,11,155,983,1137,pelt-pen3,0.2129032258064516,True
0.4166666666666667,0.4166666666666667,0.0,0,5,39,1187,1225,pelt-pen3,0.3333333333333333,True
0.35185185185185186,0.35185185185185186,0.4444444444444444,3,6,58,1251,1308,pelt-pen3,0.8448275862068966,False
0.38461538461538464,0.38461538461538464,0.5454545454545454,3,8,69,1310,1378,pelt-pen3,1.0,False
0.4351145038167939,0.4351145038167939,0.0,0,11,137,3334,3470,pelt-pen3,0.9854014598540146,False
0.5172413793103449,0.5172413793103449,0.0,0,5,32,30,61,pelt-pen5,0.09375,True
0.4,0.4,0.0,0,7,37,96,132,pelt-pen5,0.21621621621621623,True
